Fav,Pos,Race No,Share,Name,Net Time,Gender,Team,Wave,Start,Run,Bike,Sandbag Gauntlet,Battle Rope Pull,Farmer's Carry,Row,Deadball Burpee,Sled Push,Pendulum Shots,Agility Climber,Ski,Finish
,40,2099,,IMEE O,0:31:15,Female,Team 2099,Heat5 9:00:00 AM,0:00:03,0:02:30,0:04:34,0:07:59,0:11:40,0:12:52,0:16:01,0:18:08,0:19:16,0:24:40,0:26:29,0:29:49,0:31:15
,41,2082,,NAOMI MOORE,0:31:51,Female,Team 2081,Heat4 8:45:00 AM,0:00:07,0:03:20,0:05:21,0:09:50,0:13:49,0:15:29,0:18:27,0:20:56,0:22:27,0:25:35,0:27:23,0:30:25,0:31:51
,42,2081,,ELLA ONN,0:31:51,Female,Team 2081,Heat4 8:45:00 AM,0:00:07,0:03:20,0:05:22,0:09:51,0:13:49,0:15:29,0:18:27,0:20:57,0:22:33,0:25:35,0:27:20,0:30:24,0:31:51
,43,2088,,ALYSHEA LOW KHYE LYN,0:31:57,Female,Team 2087,Heat4 8:45:00 AM,0:00:04,0:02:44,0:04:47,0:09:02,0:13:05,0:14:43,0:17:56,0:20:16,0:21:21,0:25:36,0:27:22,0:30:33,0:31:57
,44,2087,,JANICE OOI,0:31:58,Female,Team 2087,Heat4 8:45:00 AM,0:00:03,0:02:44,0:04:45,0:09:05,0:13:06,0:14:50,0:17:53,0:20:18,0:21:26,0:25:36,0:27:24,0:30:33,0:31:58
,45,2092,,SHIH YUEN CHIN,0:32:27,Female,Team 2091,Heat4 8:45:00 AM,0:00:04,0:02:52,0:05:09,0:09:35,0:14:05,0:15:35,0:18:35,0:20:43,0:22:11,0:26:20,0:28:13,0:31:05,0:32:27
,46,2091,,CHEONG SWA LAN CHEONG,0:32:27,Female,Team 2091,Heat4 8:45:00 AM,0:00:05,0:02:53,0:05:06,0:09:35,0:14:06,0:15:35,0:18:33,0:20:44,0:22:08,0:26:16,0:28:15,0:31:05,0:32:27
,47,2006,,IBTIHAJ BASHAR,0:32:31,Female,Team 2005,Heat1 8:00:00 AM,0:00:05,0:02:46,0:05:21,0:09:57,0:14:18,0:15:51,0:19:20,0:21:46,0:23:28,0:26:25,0:28:13,0:31:22,0:32:31
,48,2005,,CATE DALIS,0:32:34,Female,Team 2005,Heat1 8:00:00 AM,0:00:04,0:02:49,0:05:21,0:09:56,0:14:18,0:15:52,0:19:20,0:21:49,0:23:36,0:26:25,0:28:15,0:31:14,0:32:34
,49,2075,,CHAN TOH SAN,0:32:56,Female,Team 2075,Heat4 8:45:00 AM,0:00:04,0:02:42,0:04:33,0:08:29,0:13:28,0:15:27,0:18:31,0:20:57,0:22:17,0:25:47,0:27:51,0:31:26,0:32:56
